zipcode,status,unixsunrise,unixsunset,sunset,sunrise
33018,ok,1697887396,1697928530,10/21/2023 22:48,10/21/2023 11:23
75001,ok,1697891753,1697932068,10/21/2023 23:47,10/21/2023 12:35
54590,Not found,not shown,not shown,notshown,not shown
84740,ok,1697895796,1697935409,10/22/2023 0:43,10/21/2023 13:43
82310,ok,1697895073,1697934043,10/22/2023 0:20,10/21/2023 13:31
12311,Not found,not shown,not shown,notshown,not shown
99762,ok,1697911883,1697944847,10/22/2023 3:20,10/21/2023 18:11
50047,ok,1697891536,1697930679,10/21/2023 23:24,10/21/2023 12:32
54600,Not found,not shown,not shown,notshown,not shown
59105,ok,1697895537,1697933929,10/22/2023 0:18,10/21/2023 13:38
83278,ok,1697896902,1697935567,10/22/2023 0:46,10/21/2023 14:01
