zipcode,status,unixsunrise,unixsunset,sunset,sunrise
33018,ok,1697887396,1697928530,2023-10-21 22:48:50,2023-10-21 11:23:16
75001,ok,1697891753,1697932068,2023-10-21 23:47:48,2023-10-21 12:35:53
54590,Not found,not shown,not shown,notshown,not shown
84740,ok,1697895796,1697935409,2023-10-22 00:43:29,2023-10-21 13:43:16
82310,ok,1697895073,1697934043,2023-10-22 00:20:43,2023-10-21 13:31:13
12311,Not found,not shown,not shown,notshown,not shown
99762,ok,1697911883,1697944847,2023-10-22 03:20:47,2023-10-21 18:11:23
50047,ok,1697891536,1697930679,2023-10-21 23:24:39,2023-10-21 12:32:16
54600,Not found,not shown,not shown,notshown,not shown
59105,ok,1697895537,1697933929,2023-10-22 00:18:49,2023-10-21 13:38:57
83278,ok,1697896902,1697935567,2023-10-22 00:46:07,2023-10-21 14:01:42
